2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
00573491-0123278,UGC 00595,14.39547,-1.39104,126.46439,-64.22059,10.86,0.054,0.0450313719,0.0466507059,0.0005003469,201.150706269,2.1574192082,-5,0,2,5365.4,131.702695493,0,0,6200.73705429,330210409074000000000000000000000000000000,0.0256111111,0.0131666667,0,0.0111322613,0.0087480841,0,14.3951499994,-1.3918036144,14.3909833034,-1.3876357216,j
00574891+3021083,NGC 0315,14.45378,30.35236,124.56313,-32.49909,8.027,0.017,0.0164848178,0.0166192148,0.0007004857,69.6720300541,2.8295712618,-5,0,6,6630,128.009571248,0,0,1920.40943138,48952625432700000000000000000000000000000,0.1371111111,0.0353611111,0,0.0942307515,0.0026147587,0.002991511,14.4464879935,30.3587008538,14.4464879935,30.3587008538,j
00582263+2651586,NGC 0326 NED01,14.59431,26.86626,124.84438,-35.97962,10.38,0.05,0.0487339513,0.0508667956,0.0005003469,219.99812542,2.1639927403,-4,0,5,1802.9,32.8560496713,0,0,2083.59280486,132725732234000000000000000000000000000000,0.0881944444,0.0353611111,0,0.0349766342,0.004702271,0.0014815241,14.5985450317,26.8719163206,14.5984933666,26.8760835276,j
00582305-6648461,ABELL S0112:[GMT93] C,14.59607,-66.81281,301.8616,-50.30098,11.39,0.078,0.0743117705,0.0768191326,0.0005003469,338.386161514,2.2040142279,-2,2,0,0,0,404.6,11.7098249346,344.894931497,51977611721600000000000000000000000000000,0,0,0,0.0292243091,0.003909738,0,14.6075880058,-66.8065228295,14.6071325878,-66.8098141398,p
01014997-0252314,2MASX J01014997-0252314,15.4582,-2.87542,129.23,-65.61993,11.701,0.07,0.0706025198,0.0738314726,0.0005003469,324.551448768,2.1994455773,98,0,5,254,6.4335060426,0,0,293.545161924,40695496517500000000000000000000000000000,0.11325,0.035,0,0.059365187,0.0008036804,0,15.4576466465,-2.8664138203,15.4367821411,-2.8747347479,j
01015074-0647594,NGC 0349,15.46144,-6.79981,130.3349,-69.52178,9.318,0.027,0.0199672438,0.0204764474,0.0007232936,86.6027323219,3.0590855741,-5,0,9,295.9,7.812169993,0,0,341.968556746,3375621034110000000000000000000000000000,0.25975,0.0349444444,0,0.1530859178,0.0011115979,0,15.4461624542,-6.7411953771,15.4628856083,-6.7953966156,j
01072493+3224452,NGC 0383,16.85396,32.41256,126.839,-30.33785,8.574,0.023,0.0170051803,0.0172515493,0.0007505204,72.4564506272,3.0312147807,-4,0,6,4835.8,73.5238736738,0,0,5588.68383478,38616061114300000000000000000000000000000,0.1832222222,0.0353611111,0,0.0886641835,0.0025924749,0,16.8596603184,32.4240947392,16.8548823668,32.4115510709,j
01074756-1730250,IC 1623B,16.94818,-17.50697,145.20363,-79.66441,10.049,0.021,0.0203041452,0.0206528399,0.0007781331,87.3603488358,3.2914591902,10,0,1,248.5,9.8,0,0,287.188869048,2884699922400000000000000000000000000000,0.0043888889,0.0043888889,0,0.0015270672,0.0015270672,0,16.9481220345,-17.5064448791,16.943752511,-17.5064638484,p
01100320+1358417,2MASX J01100320+1358417,17.51331,13.97823,129.77573,-48.64593,11.373,0.109,0.0582806022,0.0608311151,0.0005003469,264.972765562,2.1794487421,-5,0,2,237.7,8.2152297594,0,0,274.707421218,25385001276500000000000000000000000000000,0.0153055556,0.0114166667,0,0.0246186634,0.0005940559,0,17.5159038873,13.9796816809,17.5073135088,13.9797274283,p
01103850+1649348,2MASX J01103850+1649348,17.66041,16.8263,129.53018,-45.7992,11.428,0.082,0.0652421187,0.068301443,0.0005003469,299.084332784,2.1909626977,98,0,1,301.2,10,0,0,348.093711699,40981497644800000000000000000000000000000,0.0226388889,0.0226388889,0,0.000612539,0.000612539,0,17.6587442321,16.8270276444,17.6543896509,16.8270608617,j
01110909-1357397,MCG -02-04-010,17.78788,-13.96103,143.16814,-76.05228,10.66,0.059,0.0516359731,0.0533932563,0.0005003469,231.344357012,2.1679222425,5,0,1,1306.6,44.5,0,0,1510.02404949,106366778417000000000000000000000000000000,0.0160555556,0.0160555556,0,0.0017654216,0.0017654216,0,17.7864194239,-13.9656003852,17.7863870927,-13.9614313722,j
